id,value
e6b2ffc7c36a6810bc9fd9462f5d7598,0.22
e3b2b30bc36a6810bc9fd9462f5d7509,0.04
33b2b30bc36a6810bc9fd9462f5d751b,0.31
d4b277c7c36a6810bc9fd9462f5d7539,0.26
d1a0785fc37bb0106fd59e472f5d750d,0.15
70c2370bc36a6810bc9fd9462f5d75c7,0.44
1fb2730bc36a6810bc9fd9462f5d7539,0.51
cfb2730bc36a6810bc9fd9462f5d7534,0.55
0d02a528c3f1e1106fd59e472f5d7502,0.21
80b2f3c7c36a6810bc9fd9462f5d7572,0.19
e7c2fb0bc36a6810bc9fd9462f5d75ae,0.52
4d5af08a0044c2106fd539efeb923021,0.81
19c2b70bc36a6810bc9fd9462f5d75a7,0.42
84d27f0bc36a6810bc9fd9462f5d75e5,0.52
28c2f30bc36a6810bc9fd9462f5d75ca,0.2
5ac27b0bc36a6810bc9fd9462f5d75c9,0.86
e4c2f30bc36a6810bc9fd9462f5d7521,0.02
f3b2730bc36a6810bc9fd9462f5d75f2,0.74
7f8cbc0e0044c2106fd539efeb923059,0.65
00b237c7c36a6810bc9fd9462f5d7578,0.4
803ca74c2baf6690c0fcf51ef291bf9d,0.13
87a2b3c7c36a6810bc9fd9462f5d7548,0.93
74c2b30bc36a6810bc9fd9462f5d75fe,0.53
3aa2b3c7c36a6810bc9fd9462f5d7502,0.89
08c2b30bc36a6810bc9fd9462f5d75c3,0.95
a3b2730bc36a6810bc9fd9462f5d7590,0.8
24b277c7c36a6810bc9fd9462f5d753e,0.08
e1b2b7c7c36a6810bc9fd9462f5d7543,0.13
ec522568c3f1e1106fd59e472f5d75f9,0.17
c1b277c7c36a6810bc9fd9462f5d75f8,0.82
beb2330bc36a6810bc9fd9462f5d7586,0.46
5c57010a0084c2106fd539efeb92302f,0.7
66b2330bc36a6810bc9fd9462f5d750d,0.3
5bb2730bc36a6810bc9fd9462f5d753e,0.3
74c2370bc36a6810bc9fd9462f5d75cf,0.92
eda0b85fc37bb0106fd59e472f5d75b9,0.04
b5a0bc5fc37bb0106fd59e472f5d7575,0.92
cdb2b7c7c36a6810bc9fd9462f5d7579,0.48
f3659e48507a4a10912bf67683c6fb9e,0.29
40b277c7c36a6810bc9fd9462f5d7512,0.33
92b2ffc7c36a6810bc9fd9462f5d75de,0.16
13b2730bc36a6810bc9fd9462f5d7576,0.67
a2b2330bc36a6810bc9fd9462f5d7512,0.96
189d348e0044c2106fd539efeb92307c,0.86
22c2bb0bc36a6810bc9fd9462f5d7519,0.89
42b2ffc7c36a6810bc9fd9462f5d753f,0.69
d9fa2f0c2b6f6690c0fcf51ef291bf71,0.62
4bb2330bc36a6810bc9fd9462f5d752e,0.43
0d0c23c82baf6690c0fcf51ef291bf14,0.58
c4d2fb0bc36a6810bc9fd9462f5d75e1,0.68
cbfa30ca0044c2106fd539efeb923075,0.94
0db27bc7c36a6810bc9fd9462f5d75e4,0.15
6ac5efead1fa82102e1d5026ca022c7d,0.38
0ba2b3c7c36a6810bc9fd9462f5d7543,0.47
791c230c2baf6690c0fcf51ef291bf5c,0.06
883bb4ca0044c2106fd539efeb92307c,0.83
09b2b7c7c36a6810bc9fd9462f5d7531,0.25
2cebe3482baf6690c0fcf51ef291bf9e,0.28
285baf802baf6690c0fcf51ef291bfee,0.27
94b277c7c36a6810bc9fd9462f5d7543,0.88
a5b2ffc7c36a6810bc9fd9462f5d7506,0.88
8fa273c7c36a6810bc9fd9462f5d75b8,0.43
27b2730bc36a6810bc9fd9462f5d75cc,0.89
bab2330bc36a6810bc9fd9462f5d755c,0.11
2d38f0c60044c2106fd539efeb9230d1,0.85
2db2fbc7c36a6810bc9fd9462f5d7539,0.86
7eb2330bc36a6810bc9fd9462f5d7557,0.67
59b23fc7c36a6810bc9fd9462f5d758e,0.58
4ab2ffc7c36a6810bc9fd9462f5d75cb,0.74
9cb3da44507a4a10912bf67683c6fb74,0.13
6697050a0084c2106fd539efeb92305c,0.64
8bc2fb0bc36a6810bc9fd9462f5d7537,0.99
06c27b0bc36a6810bc9fd9462f5d7529,0.44
a4b277c7c36a6810bc9fd9462f5d7554,0.04
acb277c7c36a6810bc9fd9462f5d7516,0.09
2129fc0a0044c2106fd539efeb923040,0.03
91b27bc7c36a6810bc9fd9462f5d75ea,0.11
aab2330bc36a6810bc9fd9462f5d7524,0.69
65b2b7c7c36a6810bc9fd9462f5d753e,0.99
f4b2b7c7c36a6810bc9fd9462f5d7539,0.32
a5b23fc7c36a6810bc9fd9462f5d7593,0.31
a4b277c7c36a6810bc9fd9462f5d75f3,0.3
e5b2bfc7c36a6810bc9fd9462f5d75e3,0.71
1db2fbc7c36a6810bc9fd9462f5d7534,0.46
58b277c7c36a6810bc9fd9462f5d754f,0.3
cdc2370bc36a6810bc9fd9462f5d75d8,0.22
88b237c7c36a6810bc9fd9462f5d758b,0.33
faa2b3c7c36a6810bc9fd9462f5d753e,0.34
b1b2ffc7c36a6810bc9fd9462f5d753a,0.92
bfa2f3c7c36a6810bc9fd9462f5d75c7,0.88
f5a0785fc37bb0106fd59e472f5d75b0,0.32
9229a7c42b2f6690c0fcf51ef291bf89,0.66
31b2ffc7c36a6810bc9fd9462f5d7510,0.15
d6a233c7c36a6810bc9fd9462f5d75fc,0.43
76a2b3c7c36a6810bc9fd9462f5d7507,0.17
eea273c7c36a6810bc9fd9462f5d7519,0.38
e0b277c7c36a6810bc9fd9462f5d7559,0.17
97a2f3c7c36a6810bc9fd9462f5d752b,0.9
c1ccf04e0044c2106fd539efeb92301c,0.83
1cf8300a0044c2106fd539efeb923064,0.21
01c2770bc36a6810bc9fd9462f5d7535,0.41
67a2f3c7c36a6810bc9fd9462f5d7535,0.64
6ea233c7c36a6810bc9fd9462f5d7595,0.03
f3a2f3c7c36a6810bc9fd9462f5d75f9,0.9
ae686f4c2beb6690c0fcf51ef291bf4e,0.56
25f8a7042b2f6690c0fcf51ef291bf24,0.78
aab2ffc7c36a6810bc9fd9462f5d7593,0.83
bba2f3c7c36a6810bc9fd9462f5d7548,0.28
eea273c7c36a6810bc9fd9462f5d753e,0.78
08c2b30bc36a6810bc9fd9462f5d75a0,0.76
3ba2f3c7c36a6810bc9fd9462f5d754d,0.24
19c2f70bc36a6810bc9fd9462f5d7524,0.95
10b237c7c36a6810bc9fd9462f5d75fe,0.6
cac27b0bc36a6810bc9fd9462f5d7593,0.13
06b2ffc7c36a6810bc9fd9462f5d75c6,0.61
08f35284507a4a10912bf67683c6fb76,0.85
4fbd388e0044c2106fd539efeb923049,0.55
2ea273c7c36a6810bc9fd9462f5d751e,0.51
efa2f3c7c36a6810bc9fd9462f5d751b,0.7
dea273c7c36a6810bc9fd9462f5d7502,0.61
b7a237c7c36a6810bc9fd9462f5d756e,0.16
f3a237c7c36a6810bc9fd9462f5d7573,0.37
a2a273c7c36a6810bc9fd9462f5d7584,0.24
98b277c7c36a6810bc9fd9462f5d7534,0.41
eea273c7c36a6810bc9fd9462f5d7588,0.54
67a2f3c7c36a6810bc9fd9462f5d756d,0.92
23a2f3c7c36a6810bc9fd9462f5d75c3,0.3
86b2ffc7c36a6810bc9fd9462f5d75c1,0.69
93a273c7c36a6810bc9fd9462f5d75ef,0.37
f1b2ffc7c36a6810bc9fd9462f5d750b,0.23
3ea273c7c36a6810bc9fd9462f5d7543,0.16
61a0b85fc37bb0106fd59e472f5d75bf,0.99
3ea2b3c7c36a6810bc9fd9462f5d7556,0.95
3ea273c7c36a6810bc9fd9462f5d758d,0.57
58c2b30bc36a6810bc9fd9462f5d75f4,0.65
11c2b70bc36a6810bc9fd9462f5d75ad,0.19
02b8bcc60044c2106fd539efeb9230ab,0.89
2ba2f3c7c36a6810bc9fd9462f5d7568,0.63
ada03c5fc37bb0106fd59e472f5d75bc,0.29
25c7050a0084c2106fd539efeb923004,0.28
cdc2370bc36a6810bc9fd9462f5d757f,0.39
dbb2330bc36a6810bc9fd9462f5d75fd,0.21
35a0bc5fc37bb0106fd59e472f5d7573,0.83
9bb2330bc36a6810bc9fd9462f5d75b6,0.2
cdc2770bc36a6810bc9fd9462f5d7539,0.42
a4c2b30bc36a6810bc9fd9462f5d75f9,0.68
aac2bb0bc36a6810bc9fd9462f5d7505,0.31
54c2b30bc36a6810bc9fd9462f5d75a5,0.67
74c2f30bc36a6810bc9fd9462f5d75cf,0.02
55c2770bc36a6810bc9fd9462f5d755f,0.25
06c27b0bc36a6810bc9fd9462f5d75a2,0.82
adc2f70bc36a6810bc9fd9462f5d7595,0.52
f4f7850a0084c2106fd539efeb923000,0.44
65c2f70bc36a6810bc9fd9462f5d7529,0.99
c9c2770bc36a6810bc9fd9462f5d7555,0.06
1f439e04507a4a10912bf67683c6fb59,0.8
8fd41a08507a4a10912bf67683c6fbc6,0.99
68c2f30bc36a6810bc9fd9462f5d751c,0.18
1ac27b0bc36a6810bc9fd9462f5d7598,0.2
36c2bb0bc36a6810bc9fd9462f5d75b0,0.98
18c2b30bc36a6810bc9fd9462f5d75bf,0.03
6cc2b30bc36a6810bc9fd9462f5d75e5,0.22
c6c27b0bc36a6810bc9fd9462f5d7524,0.71
79c27b0bc36a6810bc9fd9462f5d753a,0.45
61c2370bc36a6810bc9fd9462f5d75cc,0.72
16b2ffc7c36a6810bc9fd9462f5d75e9,0.75
90c2b30bc36a6810bc9fd9462f5d75cd,0.88
b9c27b0bc36a6810bc9fd9462f5d751f,0.21
f7ba7c8a0044c2106fd539efeb923041,0.65
11fc784e0044c2106fd539efeb923007,0.44
06c27b0bc36a6810bc9fd9462f5d7544,0.6
0cc2b30bc36a6810bc9fd9462f5d754e,0.41
9a22ad28c3f1e1106fd59e472f5d75f0,0.79
7718410a0084c2106fd539efeb9230c1,0.58
74b2b7c7c36a6810bc9fd9462f5d751b,0.72
43c2bb0bc36a6810bc9fd9462f5d75b5,0.8
1ec27b0bc36a6810bc9fd9462f5d75c4,0.21
ffb2b30bc36a6810bc9fd9462f5d7549,0.48
6dc2f70bc36a6810bc9fd9462f5d750f,0.88
5159304a0044c2106fd539efeb9230b3,0.83
dba2b3c7c36a6810bc9fd9462f5d759c,0.37
c11652c8507a4a10912bf67683c6fb73,0.34
81c2370bc36a6810bc9fd9462f5d75d4,0.14
11c2f70bc36a6810bc9fd9462f5d750b,0.32
79c23b0bc36a6810bc9fd9462f5d75b4,0.66
0064d6c4507a4a10912bf67683c6fb45,0.8
47a273c7c36a6810bc9fd9462f5d75ea,0.79
4cb237c7c36a6810bc9fd9462f5d7586,0.02
10c2b30bc36a6810bc9fd9462f5d75e1,0.24
2cd2bf0bc36a6810bc9fd9462f5d751a,0.53
34c2370bc36a6810bc9fd9462f5d75c2,0.41
c6c27b0bc36a6810bc9fd9462f5d759d,0.08
7fb2b30bc36a6810bc9fd9462f5d7512,0.08
46b2ffc7c36a6810bc9fd9462f5d75d9,0.49
a0c2370bc36a6810bc9fd9462f5d7576,0.67
00c2730bc36a6810bc9fd9462f5d75f7,0.34
bda07c5fc37bb0106fd59e472f5d75cd,0.43
5ec2bb0bc36a6810bc9fd9462f5d7500,0.38
